number,value,params_lr,params_optimizer
0,0.8406999819592279,0.0003820023943324925,SGD
4,0.8406999819592279,0.0003714212822809322,SGD
1,0.8699260328342053,0.0009909417650503084,Adam
2,0.8699260328342053,0.0009114134632613953,Adam
3,0.8699260328342053,0.00017629053035911967,Adam
7,0.8699260328342053,0.0009433066969270824,RMSprop
8,0.8699260328342053,0.0005289334340358625,RMSprop
11,0.8701064405556558,0.0009312037690612086,Adam
16,0.8701064405556558,0.0006993130300905831,RMSprop
25,0.8701064405556558,0.0009437285714336502,RMSprop
